rank,geneSymbol,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,mean_amp_freq,mean_deep_del_freq,max_any_alter_freq,n_studies
1,TP53,0.55069511597633,0.32237909792566466,0.45291514715580045,0.0017038314764251813,0.011607524396876763,0.9464285714285714,32
2,AGO2,0.48155542805541546,0.010712185511833857,0.4768383337518703,0.046403031682621644,0.0022023520980316,0.8336594911937377,32
3,SMAD4,0.41172914644457753,0.023654690369738177,0.406264201255765,0.0017928508590296251,0.01634199693199466,0.8322147651006712,32
4,SMAD2,0.4083783589399037,0.007589419361746059,0.4034748644097423,0.0038997822039360313,0.004922732809745363,0.8322147651006712,32
5,DGCR8,0.40508648827457555,0.01178782343741891,0.3956841039593717,0.012669277830960522,0.0028191688526186783,0.8571428571428571,32
6,LIN28B,0.38798206733019297,0.00543809405043245,0.3854233436180732,0.004949982445656816,0.012086187646952688,0.7846153846153846,32
7,DICER1,0.37668653966299415,0.021339803270177756,0.36254410327472164,0.003181576899082647,0.003927302606346925,0.7142857142857143,32
8,LIN28A,0.37551814858803334,0.0026118523186922753,0.3739147169569141,0.0032228362268151654,0.00450922985688581,0.8153846153846154,32
9,DROSHA,0.3712991687581577,0.01786383705947575,0.3609104579946807,0.020856932126680768,0.0005490520857151875,0.8119834710743802,32
10,AGO4,0.3492010097963522,0.009211053383099806,0.34207101307911364,0.0048456616150465434,0.0008990440475020563,0.8153846153846154,32
11,AGO3,0.34896843848920595,0.009674674425305762,0.34238881502676416,0.007283812244124197,0.0009604389394470438,0.8153846153846154,32
12,AGO1,0.34872695203167514,0.009872610820077019,0.3412666846290923,0.004999420088330122,0.0008990440475020563,0.8153846153846154,32
13,XPO5,0.34216267442411935,0.010364750758613974,0.33512124905294743,0.018749463421272695,0.00015027056840757812,0.8,32
14,TARBP2,0.30774553220321976,0.004857559513852016,0.30409512350337914,0.005977892728122028,0.0006118440868628094,0.7640449438202247,32
15,PRKRA,0.26168820474928534,0.0034305460994940406,0.2593699706215164,0.005063519429040919,0.001122288112300772,0.7230769230769231,32
