geneSymbol,rank,tumour_acronym,N,any_alter_freq,mut_freq,any_cna_freq,amp_freq,deep_del_freq
DROSHA,1,LUSC,484,0.812,0.0579,0.8058,0.0992,0.0021
DROSHA,2,ACC,89,0.7416,0.0225,0.7416,0.0225,0.0
DROSHA,3,TGCT,149,0.7248,0.0,0.7248,0.0,0.0067
DROSHA,4,ESCA,182,0.6978,0.022,0.6978,0.0769,0.0
DROSHA,5,LUAD,511,0.6575,0.0294,0.6536,0.0783,0.0
DGCR8,1,UCS,56,0.8571,0.0179,0.8393,0.0714,0.0
DGCR8,2,OV,511,0.8141,0.002,0.8121,0.0313,0.0039
DGCR8,3,MESO,86,0.7674,0.0,0.7674,0.0116,0.0
DGCR8,4,LUSC,484,0.688,0.0062,0.688,0.0331,0.0083
DGCR8,5,ESCA,182,0.6044,0.0165,0.5934,0.011,0.011
DICER1,1,UCS,56,0.7143,0.0357,0.6964,0.0,0.0
DICER1,2,OV,511,0.6497,0.0098,0.6438,0.0157,0.002
DICER1,3,LUSC,484,0.6364,0.031,0.624,0.0165,0.0041
DICER1,4,CHOL,36,0.6111,0.0278,0.5833,0.0,0.0278
DICER1,5,ESCA,182,0.5879,0.0165,0.5824,0.0,0.0055
TARBP2,1,ACC,89,0.764,0.0,0.764,0.0225,0.0
TARBP2,2,TGCT,149,0.6242,0.0,0.6242,0.0,0.0
TARBP2,3,UCS,56,0.6071,0.0,0.6071,0.0357,0.0
TARBP2,4,OV,511,0.5088,0.0,0.5088,0.002,0.0
TARBP2,5,LUAD,511,0.4658,0.002,0.4658,0.0098,0.0
PRKRA,1,KICH,65,0.7231,0.0,0.7231,0.0,0.0
PRKRA,2,OV,511,0.5421,0.0,0.5421,0.0294,0.0
PRKRA,3,ESCA,182,0.4341,0.0055,0.4341,0.0055,0.0
PRKRA,4,LUSC,484,0.4256,0.0,0.4256,0.0248,0.0021
PRKRA,5,UCS,56,0.4107,0.0,0.4107,0.0179,0.0
XPO5,1,KICH,65,0.8,0.0,0.8,0.0,0.0
XPO5,2,UCS,56,0.6964,0.0179,0.6786,0.0,0.0
XPO5,3,SKCM,363,0.6143,0.0523,0.5923,0.0358,0.0
XPO5,4,OV,511,0.5988,0.0039,0.5969,0.0489,0.002
XPO5,5,LUSC,484,0.5083,0.0083,0.5041,0.0186,0.0
AGO1,1,KICH,65,0.8154,0.0,0.8154,0.0,0.0
AGO1,2,PCPG,161,0.6335,0.0,0.6335,0.0062,0.0248
AGO1,3,OV,511,0.6204,0.0078,0.6184,0.0607,0.0
AGO1,4,UCS,56,0.5714,0.0,0.5714,0.0,0.0
AGO1,5,CHOL,36,0.5556,0.0,0.5556,0.0,0.0
AGO2,1,OV,511,0.8337,0.002,0.8337,0.2779,0.0039
AGO2,2,UCS,56,0.8036,0.0,0.8036,0.1071,0.0
AGO2,3,ESCA,182,0.7747,0.011,0.7747,0.1154,0.0055
AGO2,4,TGCT,149,0.7651,0.0,0.7651,0.0067,0.0067
AGO2,5,UVM,80,0.7625,0.0125,0.7625,0.025,0.0
AGO3,1,KICH,65,0.8154,0.0154,0.8154,0.0,0.0
AGO3,2,PCPG,161,0.6335,0.0,0.6335,0.0062,0.0248
AGO3,3,OV,511,0.6243,0.0039,0.6223,0.0646,0.0
AGO3,4,UCS,56,0.5714,0.0,0.5714,0.0536,0.0
AGO3,5,CHOL,36,0.5556,0.0,0.5556,0.0,0.0
AGO4,1,KICH,65,0.8154,0.0,0.8154,0.0,0.0
AGO4,2,PCPG,161,0.6335,0.0,0.6335,0.0062,0.0248
AGO4,3,OV,511,0.6106,0.0,0.6106,0.0587,0.0
AGO4,4,CHOL,36,0.5833,0.0,0.5833,0.0,0.0
AGO4,5,UCS,56,0.5714,0.0,0.5714,0.0,0.0
LIN28A,1,KICH,65,0.8154,0.0,0.8154,0.0,0.0
LIN28A,2,CHOL,36,0.8056,0.0,0.8056,0.0,0.0278
LIN28A,3,OV,511,0.6771,0.0,0.6771,0.0039,0.0
LIN28A,4,PCPG,161,0.6273,0.0,0.6273,0.0,0.0248
LIN28A,5,UCS,56,0.5893,0.0,0.5893,0.0536,0.0
LIN28B,1,KICH,65,0.7846,0.0154,0.7846,0.0,0.0
LIN28B,2,CHOL,36,0.7222,0.0,0.7222,0.0,0.0
LIN28B,3,OV,511,0.7084,0.0039,0.7084,0.0215,0.0039
LIN28B,4,SKCM,363,0.6612,0.0358,0.6419,0.0028,0.011
LIN28B,5,LUAD,511,0.5832,0.0137,0.5773,0.0,0.0059
SMAD2,1,TGCT,149,0.8322,0.0,0.8322,0.0,0.0
SMAD2,2,ESCA,182,0.7637,0.0055,0.7637,0.011,0.0385
SMAD2,3,PAAD,178,0.736,0.0056,0.736,0.0,0.0281
SMAD2,4,COADREAD,532,0.7293,0.0526,0.7011,0.0038,0.0113
SMAD2,5,OV,511,0.7143,0.0,0.7143,0.0157,0.0117
SMAD4,1,TGCT,149,0.8322,0.0,0.8322,0.0,0.0067
SMAD4,2,ESCA,182,0.7747,0.0659,0.7747,0.0,0.0824
SMAD4,3,PAAD,178,0.764,0.2079,0.7416,0.0,0.1292
SMAD4,4,COADREAD,532,0.7556,0.1278,0.7199,0.0,0.0451
SMAD4,5,OV,511,0.726,0.0078,0.7221,0.0059,0.0137
TP53,1,UCS,56,0.9464,0.9107,0.8393,0.0179,0.0
TP53,2,OV,511,0.9452,0.7123,0.8415,0.0117,0.0039
TP53,3,ESCA,182,0.9396,0.8681,0.5934,0.0055,0.011
TP53,4,LUSC,484,0.9318,0.8347,0.7293,0.0021,0.0041
TP53,5,KICH,65,0.8154,0.3231,0.7538,0.0,0.0
