rank,tumour_acronym,mean_any_alter_freq_excl_TP53,mean_mut_freq_excl_TP53,mean_any_cna_freq_excl_TP53,N,n_genes
1,OV,0.658233156276209,0.0033547665641598854,0.6568353368744758,511,14
2,UCS,0.6288265306122449,0.008928571428571414,0.6237244897959184,56,14
3,KICH,0.578021978021978,0.005494505494505464,0.5769230769230769,65,14
4,LUSC,0.5729043683589138,0.014462809917355327,0.5687721369539551,484,14
5,ESCA,0.5698587127158555,0.012951334379905742,0.5667189952904239,182,14
6,LUAD,0.5293542074363992,0.017752306402012828,0.5239027117696393,511,14
7,TGCT,0.5196548418024928,0.0,0.5196548418024928,149,14
8,CHOL,0.4920634920634921,0.0019841269841269784,0.49007936507936506,36,14
9,BLCA,0.481045981045981,0.017374517374517343,0.47279747279747275,407,14
10,ACC,0.4799357945425361,0.004815409309791315,0.4767255216693419,89,14
11,SKCM,0.46497441951987406,0.038961038961038925,0.4458874458874459,363,14
12,SARC,0.455957086391869,0.00367024280067755,0.45454545454545453,253,14
13,BRCA,0.4553910917979359,0.0067897881586094005,0.45253938077131994,1052,14
14,COADREAD,0.4276315789473684,0.03531149301825992,0.4045381310418904,532,14
15,STAD,0.4116194865042791,0.023206056616194813,0.3971362738643845,434,14
16,LIHC,0.4022556390977443,0.006331618519984136,0.39829837752275427,361,14
17,HNSC,0.39671625035082797,0.011928150435026623,0.39068200954252036,509,14
18,PAAD,0.38764044943820225,0.019261637239165286,0.3824237560192616,178,14
19,CESC,0.37307117969138875,0.014683922349427522,0.36386261821801885,287,14
20,MESO,0.3222591362126246,0.00249169435215945,0.32059800664451826,86,14
21,PCPG,0.2843833185448092,0.0004436557231588286,0.2843833185448092,161,14
22,UCEC,0.2820799552697791,0.05423539278725185,0.23022085546547383,511,14
23,KIRC,0.2425,0.0033928571428571428,0.23982142857142857,400,14
24,UVM,0.23482142857142857,0.0017857142857142859,0.23392857142857143,80,14
25,DLBC,0.23344947735191637,0.0069686411149825715,0.22822299651567943,41,14
26,GBM,0.23026315789473678,0.005639097744360872,0.2265037593984962,380,14
27,LGG,0.21722113502935417,0.0027956388034665715,0.2149846239865809,511,14
28,KIRP,0.18581780538302275,0.0062111801242236,0.18038302277432708,276,14
29,PRAD,0.15468886941279575,0.0029214139643587217,0.1527899503359626,489,14
30,THYM,0.09872241579558648,0.0023228803716608573,0.09639953542392563,123,14
31,THCA,0.031240833088882314,0.000880023467292443,0.03050748019947194,487,14
32,LAML,0.029917726252804745,0.0018698578908002857,0.028047868362004433,191,14
